Gage_ID	Category	LON_NHD	LAT_NHD	HUC8	WsAreaSqKm	CatAreaSqKm	CaOCat	HydrlCondCat	MgOCat	SCat	CompStrgthCat	WetIndexCat	BFICat	ElevCat	PctWaterCat	PctCoastCrsCat	PctAlluvCoastCat	PctHydricCat	PctGlacLakeFineCat	PctGlacLakeCrsCat	PctGlacTilClayCat	PctColluvSedCat	PctSalLakeCat	PctExtruVolCat	PctSilicicCat	PctNonCarbResidCat	PctCarbResidCat	PctEolCrsCat	PctEolFineCat	RunoffCat	CLAYAVE	SILTAVE	SANDAVE	AWCAVE	PERMAVE	BDAVE	OMAVE	HGA	HGB	HGC	HGD	ROCKDEPAVE	NO4AVE	NO10AVE	NO200AVE	WTDEPAVE	SLOPEAVE	Horton	Dunne	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ECOREG
5120500	Reference	-100.5397492	48.13830948	9010003	957.1383	46.2996	5.411403492	211.9274425	1.583032307	0.138618553	1.067871263	716.5449421	28.16699712	465.8743653	0	0	0.590933831	0	0	95.97620714	0	0	0	0	0	0	0	1.597853977	0	10	11.43	22.74	65.82	0.1	8.76	1.5	0.87	42.68	32.99	3.47	0.8	60	96.95	95.29	32.42	4.2	3.22	3.51219511	0	4.609583378	12.90250015	27.92144585	1239.951172	27.62000084	-18.59000015	46.20999908	16.79333305	-11.38000011	19.2733345	-11.38000011	460.8699951	91.94000244	10.97999954	69.6348877	236.4300079	37.70000076	220.4300079	37.70000076	ECO09
5123400	Reference	-100.4419632	48.58893585	9010004	3003.5943	84.2211	7.133690173	150.0520459	2.057620762	0.222158397	0.739928687	716.3281719	25.99858943	445.1753994	0	0	16.73986685	0	81.41677086	1.730089016	0	0	0	0	0	0	0	0.113273277	0	16	18.16	41.92	39.91	0.15	4.27	1.43	1.4	8.53	54.75	13.03	8.95	60	99.13	98.5	59.33	3.89	1.56	3.301587343	1.340909123	3.908055544	13.01555538	27.59093857	1269.755249	27.11833382	-20.05500031	47.17333221	18.80166626	-12.57805538	18.80166626	-12.57805538	460.7733154	91.44999695	10.55166721	69.60372162	229.3716736	37.54500198	229.3716736	37.54500198	ECO09
5057000	Reference	-98.0276947	47.43273544	9020203	6170.085	5.724	8.28900862	7.709810877	1.94766071	0.291861803	26.09923226	553.1251572	24	419.6396855	0	0	0	0	0	0	0	56.32075472	0	0	0	0	0	0	0	14	25.04	51.12	23.83	0.16	1.46	1.38	1.54	0.92	31.22	38.07	24.55	43.145	95.08	92.35	70.23	5	5.64	11.33333302	1.666666627	4.720277786	12.15277767	26.58667946	1245.249268	27.01666641	-18.69333267	45.70999908	17.75388908	-11.375	19.30833435	-11.375	539.9400024	90.48666382	11.44999981	65.55712891	252.9166718	42.16333389	252.9033356	42.16333389	ECO09
5056000	Reference	-98.71652985	47.80515289	9020203	4306.2543	46.0827	5.549739582	120.2117427	1.579680541	0.100581708	7.762256437	695.9485382	24.22994746	446.6881964	0	0	0	0	0	0	0	15.28816671	0	0	0	0	0	51.70986075	0	13.97302892	15.85	42.97	41.18	0.14	4.15	1.46	1.41	17.81	53.48	12.2	7.49	54.79	95.59	93.77	55.2	5.05	3.77	6.108695507	0.869565189	4.549687386	11.72354126	25.61398697	1252.509888	27.01499939	-18.75499916	45.77000046	19.30958366	-11.57958317	19.30958366	-11.57958317	508.7275085	95.33250427	10.47500038	71.42879486	254.875	37.98500061	254.875	37.98500061	ECO09
5057200	Reference	-98.12485504	47.22916031	9020203	1731.0843	15.0813	0.828326409	0.189733559	1.047541753	0.041404333	1.087053402	576.6260667	27.42794056	429.8621203	0	0	67.24950767	0	0	4.433967894	0	0	0	0	0	0	0	0	0	14	25.91	49.48	24.6	0.16	1.06	1.42	1.02	2.72	60.58	25.72	1.59	59.91	95.53	92.38	69.65	4.33	4.42	23.26666641	0	4.866874695	12.17374992	26.6763382	1239.907959	27.22500038	-18.40999985	45.63500214	19.44250107	-11.13416672	19.44250107	-11.13416672	523.6350098	88.00499725	11.27000046	65.44668579	244.2099915	39.68499756	244.2099915	39.68499756	ECO09
5129115	Reference	-92.56573486	48.26448059	9030002	2348.046	0.0387	2.210000038	0.036295999	1.085000038	0.007225	162.1900024	397.2093023	67	366.9144186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	9.51	40.05	50.42	0.11	3.55	1.58	2.88	4.34	2.17	57.6	32.6	30.115	71.92	63.76	31.6	5.62	10.3	0	2	3.402083158	12.56750011	27.19061089	1220.055786	25.47999954	-20.73999977	46.22000122	17.62666702	-10.30333328	17.62666702	-12.59166718	680.2399902	102.0500031	16.17000008	58.07775879	296.4299927	58.43999863	296.4299927	58.72000122	ECO09
5131500	Reference	-93.54919434	48.39546967	9030005	4382.4213	3.5307	2.206730437	0.036977267	1.088324997	0.007247711	161.9519337	619.6981902	56	341.9476727	0	0	95.48814683	0	0.127453479	0	0	0	0	0	0	0	0	0	0	229	43.43	32.72	23.85	0.2	2.01	1.12	16.45	0	8.94	22.94	32.49	60	99.24	97.35	74.14	2.05	1.64	13	0	3.446249962	12.28083324	26.41039467	1237.735107	25.51000023	-20.98999977	46.5	17.79500008	-12.83500004	17.79500008	-12.83500004	660.789978	105.2799988	14.82999992	57.27568436	284.2200012	57.62000275	284.2200012	57.62000275	ECO09
3488000	Reference	-81.74604797	36.89674377	6010101	573.4503	2.1465	19.33280121	0.068802845	5.761205992	4.745689472	88.74528508	316.6465409	49.74297694	590.9342055	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	493	43.37	37.05	19.56	0.1	1.82	1.37	0.58	1.09	20.2	69.58	0.03	35.63	78.33	72.83	60.04	5.88	26.47	3	3	11.32916641	12.69999981	38.21847534	803.4567871	27.94000053	-5.289999962	33.22999954	19.22833443	12.10333347	21.08666611	1.200000048	1269.27002	129.9799957	70.79000092	16.92019081	376.7799988	246.7700043	370.7399902	306.6900024	ECO06
3473000	Reference	-81.84413147	36.6518631	6010102	784.242	2.4534	34.39101032	0.07081831	8.379257693	0.095513787	107.5172598	378.9196625	51.91342627	581.2859795	0	0	0	0	0	0	0	19.25898753	0	0	0	60.78503302	19.95597946	0	0	504	53.11	32.3	14.58	0.13	1.41	1.36	0.35	0	81.96	18.03	0	54.88	90.19	86.83	74.17	5.93	17.64	4	4	12.1520834	13.09749985	38.8419342	797.1640015	29.02000046	-4.699999809	33.72000122	19.92833328	12.92000008	21.82333374	2.046666622	1113.630005	114.6100006	61.59999847	15.7205658	333.4700012	222.1799927	324.769989	276.0700073	ECO06
3471500	Reference	-81.63104248	36.76066589	6010102	198.4626	0.576	37.18913961	0.098191222	7.013983379	0.067592432	106.8972459	421.25625	55.0171875	669.2048125	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	504	33.51	43.19	23.29	0.13	2.24	1.47	0.68	0	66.13	31.23	1.98	57.97	85.92	79.91	61.61	4.77	10.11	5	4	11.48166656	13.29166698	39.24318314	799.9746704	28.40999985	-5.460000038	33.86999893	19.30166626	12.26166725	21.24333382	1.383333325	1101.209961	118.5699997	61.36000061	16.18033981	331	225.4199982	307.0100098	273.8900146	ECO06
