HUC8	AreaSqKm	States	Name
03030003	3755.72000000000	NC	Deep
03030004	4221.51000000000	NC	Upper_Cape_Fear
03030005	2904.64000000000	NC	Lower_Cape_Fear
03030006	4076.42000000000	NC	Black
03030007	4509.89000000000	NC	Northeast_Cape_Fear
03040101	6159.91000000000	NC	Upper_Yadkin
03040102	2347.83000000000	NC	South_Yadkin
03040103	3081.60000000000	NC	Lower_Yadkin
03040104	2250.76000000000	NC	Upper_Pee_Dee
03040105	3670.79000000000	NC	Rocky
03050102	1711.68000000000	NC	South_Fork_Catawba
06010202	2168.59000000000	NC	Upper_Little_Tennessee
06010203	1900.60000000000	NC	Tuckasegee
03050101	6105.58000000000	NC	Upper_Catawba
06010103	2248.98000000000	"NC,TN"	"Watauga,_North_Carolina,_Tennessee"
06010105	4867.64000000000	"NC,TN"	Upper_French_Broad
06010106	1785.56000000000	"NC,TN"	Pigeon
06010108	4553.88000000000	"TN,NC"	Nolichucky
06010204	2732.50000000000	"NC,TN"	Lower_Little_Tennessee
03010102	4297.21000000000	"VA,NC"	Middle_Roanoke
03010103	4979.21000000000	"VA,NC"	Upper_Dan
03010104	3209.73000000000	"NC,VA"	Lower_Dan
03010106	1444.79000000000	"VA,NC"	Roanoke_Rapids
03010203	2149.59000000000	NC	Chowan
03010204	3932.17000000000	"VA,NC"	Meherrin
05050001	7349.97000000000	"VA,NC"	Upper_New
09010003	13002.29000000000	"CN,ND"	Lower_Souris
09010005	4353.58000000000	"ND,CN"	Deep
09010006	4484.66000000000	"CN,ND"	Long_Creek
09020109	3276.75000000000	ND	Goose
09020201	9945.41000000000	ND	Devils_Lake
09020202	4877.29000000000	ND	Upper_Sheyenne
09020203	5229.02000000000	ND	Middle_Sheyenne
09020204	4462.66000000000	ND	Lower_Sheyenne
09020205	4088.96000000000	ND	Maple
09020307	1769.75000000000	ND	Turtle
09020308	2425.08000000000	ND	Forest
09020310	2472.17000000000	ND	Park
10110101	17582.40000000000	ND	Lake_Sakakawea
10110102	2411.27000000000	ND	Little_Muddy
10110205	4672.04000000000	ND	Lower_Little_Missouri
10130101	6544.57000000000	ND	Painted_Woods-Square_Butte
10130103	9410.95000000000	ND	Apple
10130104	2682.35000000000	ND	Beaver
10130201	6482.94000000000	ND	Knife
10130202	4440.36000000000	ND	Upper_Heart
10130203	4229.69000000000	ND	Lower_Heart
10130204	4234.46000000000	ND	Upper_Cannonball
10130206	2317.21000000000	ND	Lower_Cannonball
10160001	4396.43000000000	ND	James_Headwaters
10160002	2772.46000000000	ND	Pipestem
09010002	2739.08000000000	"ND,CN"	Des_Lacs
09010004	4649.49000000000	"ND,CN"	Willow
09010007	8048.46000000000	"CN,ND"	Headwaters_Souris_River
09010008	8762.86000000000	"ND,CN"	Moose_Mountain_Creek-Souris_River
09020316	6559.61000000000	"CN,ND"	Lower_Pembina_River
10060007	2719.57000000000	"CN,MT,ND"	Brush_Lake_Closed_Basin
09020107	2839.41000000000	"MN,ND"	Elm-Marsh
10110203	5628.11000000000	"MT,ND"	Middle_Little_Missouri
09020105	5793.12000000000	"ND,SD"	Western_Wild_Rice
10130205	4626.09000000000	ND	Cedar
10120108	2507.38000000000	NE	Hat
10150003	10753.09000000000	NE	Upper_Niobrara
10150005	2231.78000000000	NE	Snake
10150007	3863.84000000000	NE	Lower_Niobrara
10180013	2663.50000000000	NE	Pumpkin
10180014	5684.70000000000	NE	Lower_North_Platte
10200101	8650.74000000000	NE	Middle_Platte-Buffalo
10200102	1891.48000000000	NE	Wood
10200103	2854.37000000000	NE	Middle_Platte-Prairie
10200201	2222.78000000000	NE	Lower_Platte-Shell
10200202	1359.62000000000	NE	Lower_Platte
10200203	4266.34000000000	NE	Salt
10210001	5414.45000000000	NE	Upper_Middle_Loup
10210002	4695.69000000000	NE	Dismal
10210003	4628.06000000000	NE	Lower_Middle_Loup
10210004	4094.22000000000	NE	South_Loup
10210005	1918.54000000000	NE	Mud
10210006	6084.81000000000	NE	Upper_North_Loup
10210007	2532.69000000000	NE	Lower_North_Loup
10210008	2567.46000000000	NE	Calamus
10210009	3972.12000000000	NE	Loup
10210010	3185.48000000000	NE	Cedar
10220001	7492.10000000000	NE	Upper_Elkhorn
10220002	2197.75000000000	NE	North_Fork_Elkhorn
10220003	5714.96000000000	NE	Lower_Elkhorn
10220004	2727.48000000000	NE	Logan
10240006	2311.98000000000	NE	Little_Nemaha
10250008	2402.03000000000	NE	Medicine
10270201	2868.75000000000	NE	Upper_Big_Blue
10270202	3273.04000000000	NE	Middle_Big_Blue
10270203	3470.64000000000	NE	West_Fork_Big_Blue
10270204	1887.14000000000	NE	Turkey
10190017	1947.09000000000	"NE,CO"	Sidney_Draw
10190018	3657.79000000000	"CO,NE"	Lower_South_Platte
10250006	3745.96000000000	"CO,NE"	Stinking_Water
10240001	2170.31000000000	"IA,NE"	Keg-Weeping_Water
10240008	3132.90000000000	"KS,NE"	Big_Nemaha
10250004	5581.06000000000	"NE,KS"	Upper_Republican
10250009	3493.88000000000	"NE,KS"	Harlan_County_Reservoir
10270206	5820.51000000000	"NE,KS"	Upper_Little_Blue
10140101	11052.73000000000	"SD,NE"	Fort_Randall_Reservoir
10140201	9801.60000000000	"SD,NE"	Upper_White
10150001	2137.01000000000	NE	Ponca
10150004	9809.13000000000	NE	Middle_Niobrara
10150006	4464.24000000000	"NE,SD"	Keya_Paha
10170101	8363.41000000000	"SD,NE"	Lewis_and_Clark_Lake
10150002	3838.38000000000	"NE,WY"	Niobrara_Headwaters
10180009	13351.32000000000	"NE,WY"	Middle_North_Platte-Scotts_Bluff
01070001	2648.72000000000	NH	Pemigewasset
01070002	1257.17000000000	NH	Winnipesaukee_River
01070003	1979.12000000000	NH	Contoocook
01040001	3549.56000000000	"NH,ME,CN"	Upper_Androscoggin
