Species_name	HUC8	ORIGIN
Acipenser_fulvescens	2020004	translocated
Acipenser_transmontanus	18070203	translocated
Agosia_chrysogaster	13020203	translocated
Agosia_chrysogaster	13060008	translocated
Alosa_aestivalis	3150109	translocated
Alosa_aestivalis	3160110	translocated
Alosa_aestivalis	3150110	translocated
Alosa_aestivalis	6020003	translocated
Alosa_aestivalis	6020002	translocated
Alosa_aestivalis	4150408	translocated
Alosa_aestivalis	4140202	translocated
Alosa_aestivalis	4140203	translocated
Alosa_aestivalis	6020001	translocated
Alosa_aestivalis	6010205	translocated
Alosa_aestivalis	6010204	translocated
Alosa_aestivalis	11120103	translocated
Alosa_aestivalis	11120105	translocated
Alosa_chrysochloris	4030102	translocated
Alosa_pseudoharengus	14010001	translocated
Alosa_pseudoharengus	3060106	translocated
Alosa_pseudoharengus	3150102	translocated
Alosa_pseudoharengus	4040001	translocated
Alosa_pseudoharengus	7120003	translocated
Alosa_pseudoharengus	4040002	translocated
Alosa_pseudoharengus	7120004	translocated
Alosa_pseudoharengus	5120111	translocated
Alosa_pseudoharengus	5100201	translocated
Alosa_pseudoharengus	4070001	translocated
Alosa_pseudoharengus	4060102	translocated
Alosa_pseudoharengus	4020201	translocated
Alosa_pseudoharengus	4020203	translocated
Alosa_pseudoharengus	4030112	translocated
Alosa_pseudoharengus	4020103	translocated
Alosa_pseudoharengus	4020104	translocated
Alosa_pseudoharengus	4060104	translocated
Alosa_pseudoharengus	4070002	translocated
Alosa_pseudoharengus	4060101	translocated
Alosa_pseudoharengus	4020102	translocated
Alosa_pseudoharengus	4090004	translocated
Alosa_pseudoharengus	4010101	translocated
Alosa_pseudoharengus	4010102	translocated
Alosa_pseudoharengus	4010201	translocated
Alosa_pseudoharengus	3050101	translocated
Alosa_pseudoharengus	10150004	translocated
Alosa_pseudoharengus	10150005	translocated
Alosa_pseudoharengus	10180009	translocated
Alosa_pseudoharengus	10180014	translocated
Alosa_pseudoharengus	4140201	translocated
Alosa_pseudoharengus	4140101	translocated
Alosa_pseudoharengus	4150406	translocated
Alosa_pseudoharengus	4150306	translocated
Alosa_pseudoharengus	4150101	translocated
Alosa_pseudoharengus	4150102	translocated
Alosa_pseudoharengus	4130001	translocated
Alosa_pseudoharengus	4140102	translocated
Alosa_pseudoharengus	4150310	translocated
Alosa_pseudoharengus	4150309	translocated
Alosa_pseudoharengus	5010004	translocated
Alosa_pseudoharengus	5010007	translocated
Alosa_pseudoharengus	5020006	translocated
Alosa_pseudoharengus	6010205	translocated
Alosa_pseudoharengus	3050104	translocated
Alosa_pseudoharengus	5050004	translocated
Alosa_pseudoharengus	5050006	translocated
Alosa_pseudoharengus	4040003	translocated
Alosa_pseudoharengus	7060001	translocated
Alosa_pseudoharengus	4030102	translocated
Alosa_pseudoharengus	4030101	translocated
Alosa_pseudoharengus	4030204	translocated
Alosa_pseudoharengus	4010301	translocated
Alosa_pseudoharengus	7040006	translocated
Alosa_pseudoharengus	7060003	translocated
Alosa_pseudoharengus	4030105	translocated
Alosa_pseudoharengus	4150401	translocated
Alosa_sapidissima	18050002	translocated
Alosa_sapidissima	18010105	translocated
Alosa_sapidissima	18010209	translocated
Alosa_sapidissima	18020005	translocated
Alosa_sapidissima	18040003	translocated
Alosa_sapidissima	18040010	translocated
Alosa_sapidissima	18020159	translocated
Alosa_sapidissima	18010101	translocated
Alosa_sapidissima	18010102	translocated
Alosa_sapidissima	18070106	translocated
Alosa_sapidissima	18070104	translocated
Alosa_sapidissima	18040006	translocated
Alosa_sapidissima	18050005	translocated
Alosa_sapidissima	18010110	translocated
Alosa_sapidissima	18060015	translocated
Alosa_sapidissima	18020111	translocated
Alosa_sapidissima	18020163	translocated
Alosa_sapidissima	18040012	translocated
Alosa_sapidissima	18060013	translocated
Alosa_sapidissima	18050001	translocated
Alosa_sapidissima	18020161	translocated
Alosa_sapidissima	18020156	translocated
Alosa_sapidissima	18020125	translocated
Alosa_sapidissima	17040212	translocated
Alosa_sapidissima	17060103	translocated
Alosa_sapidissima	17080003	translocated
Alosa_sapidissima	17080001	translocated
Alosa_sapidissima	17080006	translocated
Alosa_sapidissima	17100310	translocated
Alosa_sapidissima	17100204	translocated
Alosa_sapidissima	17090007	translocated
Alosa_sapidissima	17100304	translocated
Alosa_sapidissima	17100305	translocated
Alosa_sapidissima	17100302	translocated
Alosa_sapidissima	17100303	translocated
Alosa_sapidissima	17070105	translocated
Alosa_sapidissima	17100205	translocated
Alosa_sapidissima	17090012	translocated
Alosa_sapidissima	17100102	translocated
Alosa_sapidissima	17020010	translocated
Alosa_sapidissima	17110019	translocated
Alosa_sapidissima	17100101	translocated
Alosa_sapidissima	17070101	translocated
Alosa_sapidissima	17110020	translocated
Alosa_sapidissima	17100105	translocated
Alosa_sapidissima	17110018	translocated
Alosa_sapidissima	17100106	translocated
Alosa_sapidissima	17070102	translocated
Alosa_sapidissima	17060110	translocated
Alosa_sapidissima	17110002	translocated
Ambloplites_ariommus	12100203	translocated
Ambloplites_ariommus	12100201	translocated
Ambloplites_cavifrons	3040103	translocated
Ambloplites_cavifrons	3030003	translocated
Ambloplites_cavifrons	3040104	translocated
Ameiurus_brunneus	3010104	translocated
Ameiurus_brunneus	3010103	translocated
Ameiurus_brunneus	6020002	translocated
Ameiurus_brunneus	3010102	translocated
Ameiurus_brunneus	6010202	translocated
Ameiurus_brunneus	3010106	translocated
Ameiurus_catus	3150202	translocated
Ameiurus_catus	3150105	translocated
Ameiurus_catus	3160204	translocated
Ameiurus_catus	3150110	translocated
Ameiurus_catus	3150107	translocated
Ameiurus_catus	3160203	translocated
Ameiurus_catus	6030001	translocated
Ameiurus_catus	6030005	translocated
Ameiurus_catus	6030002	translocated
Ameiurus_catus	3160205	translocated
Ameiurus_catus	3150106	translocated
Ameiurus_catus	3150109	translocated
Ameiurus_catus	8040201	translocated
Ameiurus_catus	11110203	translocated
Ameiurus_catus	11140205	translocated
Ameiurus_catus	8020303	translocated
Ameiurus_catus	8020304	translocated
Ameiurus_catus	8020301	translocated
Ameiurus_catus	8040203	translocated
Ameiurus_catus	11110103	translocated
Ameiurus_catus	18010105	translocated
Ameiurus_catus	18070204	translocated
Ameiurus_catus	18060002	translocated
Ameiurus_catus	18040003	translocated
Ameiurus_catus	18020125	translocated
Ameiurus_catus	18060015	translocated
Ameiurus_catus	18070102	translocated
Ameiurus_catus	18020116	translocated
Ameiurus_catus	18020163	translocated
Ameiurus_catus	18070304	translocated
Ameiurus_catus	18050001	translocated
Ameiurus_catus	1080205	translocated
Ameiurus_catus	1100005	translocated
Ameiurus_catus	1100003	translocated
Ameiurus_catus	7080101	translocated
Ameiurus_catus	7130003	translocated
Ameiurus_catus	7120005	translocated
Ameiurus_catus	7140202	translocated
Ameiurus_catus	7140105	translocated
Ameiurus_catus	5140104	translocated
Ameiurus_catus	5090203	translocated
Ameiurus_catus	5090104	translocated
Ameiurus_catus	5090103	translocated
Ameiurus_catus	5140201	translocated
Ameiurus_catus	5090201	translocated
Ameiurus_catus	1090001	translocated
Ameiurus_catus	1070002	translocated
Ameiurus_catus	1080201	translocated
Ameiurus_catus	1050003	translocated
Ameiurus_catus	1020005	translocated
Ameiurus_catus	10300102	translocated
Ameiurus_catus	10290108	translocated
Ameiurus_catus	5050001	translocated
Ameiurus_catus	1070006	translocated
Ameiurus_catus	16050202	translocated
Ameiurus_catus	16040105	translocated
Ameiurus_catus	16050203	translocated
Ameiurus_catus	16040108	translocated
Ameiurus_catus	16050102	translocated
Ameiurus_catus	5040004	translocated
Ameiurus_catus	5030106	translocated
Ameiurus_catus	5090202	translocated
Ameiurus_catus	5030101	translocated
Ameiurus_catus	5040001	translocated
Ameiurus_catus	17080003	translocated
Ameiurus_catus	17090007	translocated
Ameiurus_catus	17090012	translocated
Ameiurus_catus	5020006	translocated
Ameiurus_catus	6010205	translocated
Ameiurus_catus	17100102	translocated
Ameiurus_catus	17080005	translocated
Ameiurus_melas	3140301	translocated
Ameiurus_melas	3140304	translocated
Ameiurus_melas	3140302	translocated
Ameiurus_melas	3140202	translocated
Ameiurus_melas	3140303	translocated
Ameiurus_melas	3140201	translocated
Ameiurus_melas	3130003	translocated
Ameiurus_melas	3130002	translocated
Ameiurus_melas	15030101	translocated
Ameiurus_melas	15050100	translocated
Ameiurus_melas	15020002	translocated
Ameiurus_melas	15050202	translocated
Ameiurus_melas	15070101	translocated
Ameiurus_melas	15060106	translocated
Ameiurus_melas	15060203	translocated
Ameiurus_melas	15080302	translocated
Ameiurus_melas	15080301	translocated
Ameiurus_melas	15010001	translocated
Ameiurus_melas	15020016	translocated
Ameiurus_melas	15060105	translocated
Ameiurus_melas	15010005	translocated
Ameiurus_melas	15010010	translocated
Ameiurus_melas	15050304	translocated
Ameiurus_melas	15050203	translocated
Ameiurus_melas	15050301	translocated
Ameiurus_melas	15030202	translocated
Ameiurus_melas	15060202	translocated
Ameiurus_melas	15030107	translocated
Ameiurus_melas	18070105	translocated
Ameiurus_melas	18070204	translocated
Ameiurus_melas	18060002	translocated
Ameiurus_melas	18070304	translocated
Ameiurus_melas	18010206	translocated
Ameiurus_melas	18070102	translocated
Ameiurus_melas	18020125	translocated
Ameiurus_melas	18020163	translocated
Ameiurus_melas	18100204	translocated
Ameiurus_melas	18020158	translocated
Ameiurus_melas	18020129	translocated
Ameiurus_melas	18070106	translocated
Ameiurus_melas	18070104	translocated
Ameiurus_melas	18040007	translocated
Ameiurus_melas	18010110	translocated
Ameiurus_melas	18080001	translocated
Ameiurus_melas	18010204	translocated
Ameiurus_melas	18020002	translocated
Ameiurus_melas	18020001	translocated
Ameiurus_melas	18070203	translocated
Ameiurus_melas	15030104	translocated
Ameiurus_melas	18070302	translocated
Ameiurus_melas	18020111	translocated
Ameiurus_melas	18090208	translocated
Ameiurus_melas	18070303	translocated
Ameiurus_melas	18040011	translocated
Ameiurus_melas	18060005	translocated
Ameiurus_melas	18060008	translocated
Ameiurus_melas	18050003	translocated
Ameiurus_melas	18020003	translocated
Ameiurus_melas	18050001	translocated
Ameiurus_melas	18040002	translocated
Ameiurus_melas	18020155	translocated
Ameiurus_melas	14010001	translocated
Ameiurus_melas	14080102	translocated
Ameiurus_melas	14050002	translocated
Ameiurus_melas	14010005	translocated
Ameiurus_melas	14040106	translocated
Ameiurus_melas	14060010	translocated
Ameiurus_melas	1080205	translocated
Ameiurus_melas	1100005	translocated
Ameiurus_melas	1100006	translocated
Ameiurus_melas	1100003	translocated
Ameiurus_melas	2040205	translocated
Ameiurus_melas	3080102	translocated
Ameiurus_melas	3080201	translocated
Ameiurus_melas	3140203	translocated
Ameiurus_melas	3060204	translocated
Ameiurus_melas	17040212	translocated
Ameiurus_melas	17010304	translocated
Ameiurus_melas	17010305	translocated
Ameiurus_melas	1080201	translocated
Ameiurus_melas	1080204	translocated
Ameiurus_melas	1070005	translocated
Ameiurus_melas	2080109	translocated
Ameiurus_melas	2080111	translocated
Ameiurus_melas	1050002	translocated
Ameiurus_melas	17010213	translocated
Ameiurus_melas	17010212	translocated
Ameiurus_melas	10040104	translocated
Ameiurus_melas	10080016	translocated
Ameiurus_melas	10080015	translocated
Ameiurus_melas	10050008	translocated
Ameiurus_melas	10050004	translocated
Ameiurus_melas	10040105	translocated
Ameiurus_melas	10040106	translocated
Ameiurus_melas	10050005	translocated
Ameiurus_melas	17010101	translocated
Ameiurus_melas	17010103	translocated
Ameiurus_melas	10070004	translocated
Ameiurus_melas	14050007	translocated
Ameiurus_melas	14060008	translocated
Ameiurus_melas	14030005	translocated
Ameiurus_melas	14070001	translocated
Ameiurus_melas	2030101	translocated
Ameiurus_melas	3010103	translocated
Ameiurus_melas	17050115	translocated
Ameiurus_melas	17050110	translocated
Ameiurus_melas	3010106	translocated
Ameiurus_melas	3050101	translocated
Ameiurus_melas	3050103	translocated
Ameiurus_melas	3040104	translocated
Ameiurus_melas	3040103	translocated
Ameiurus_melas	3040105	translocated
Ameiurus_melas	17050108	translocated
Ameiurus_melas	2040105	translocated
Ameiurus_melas	2040202	translocated
Ameiurus_melas	3020201	translocated
Ameiurus_melas	3040101	translocated
Ameiurus_melas	17120002	translocated
Ameiurus_melas	17070204	translocated
Ameiurus_melas	17090003	translocated
Ameiurus_melas	4150401	translocated
Ameiurus_melas	4150408	translocated
Ameiurus_melas	2050106	translocated
Ameiurus_melas	1080105	translocated
Ameiurus_melas	17070105	translocated
Ameiurus_melas	4140201	translocated
Ameiurus_melas	3040206	translocated
Ameiurus_melas	15010012	translocated
Ameiurus_melas	16020201	translocated
Ameiurus_melas	3040102	translocated
Ameiurus_melas	13020203	translocated
Ameiurus_melas	16020204	translocated
Ameiurus_melas	17070101	translocated
Ameiurus_melas	2040103	translocated
Ameiurus_melas	2050305	translocated
Ameiurus_natalis	15030104	translocated
Ameiurus_natalis	15050100	translocated
Ameiurus_natalis	14070006	translocated
Ameiurus_natalis	15020016	translocated
Ameiurus_natalis	15030204	translocated
Ameiurus_natalis	15060106	translocated
Ameiurus_natalis	15050305	translocated
Ameiurus_natalis	15050203	translocated
Ameiurus_natalis	15050303	translocated
Ameiurus_natalis	15050301	translocated
Ameiurus_natalis	15060202	translocated
Ameiurus_natalis	15060203	translocated
Ameiurus_natalis	18070105	translocated
Ameiurus_natalis	18010209	translocated
Ameiurus_natalis	18070304	translocated
Ameiurus_natalis	18010206	translocated
Ameiurus_natalis	18100100	translocated
Ameiurus_natalis	18020125	translocated
Ameiurus_natalis	18020163	translocated
Ameiurus_natalis	18040001	translocated
Ameiurus_natalis	18010204	translocated
Ameiurus_natalis	18060008	translocated
Ameiurus_natalis	14010001	translocated
Ameiurus_natalis	13010001	translocated
Ameiurus_natalis	13010003	translocated
Ameiurus_natalis	1080205	translocated
Ameiurus_natalis	1100005	translocated
Ameiurus_natalis	1100003	translocated
Ameiurus_natalis	1100004	translocated
Ameiurus_natalis	1100002	translocated
Ameiurus_natalis	17040209	translocated
Ameiurus_natalis	17040212	translocated
Ameiurus_natalis	17050103	translocated
Ameiurus_natalis	17050123	translocated
Ameiurus_natalis	1070002	translocated
Ameiurus_natalis	1070006	translocated
Ameiurus_natalis	1080201	translocated
Ameiurus_natalis	1070005	translocated
Ameiurus_natalis	1100001	translocated
Ameiurus_natalis	1070004	translocated
Ameiurus_natalis	1080204	translocated
Ameiurus_natalis	1090003	translocated
Ameiurus_natalis	10090207	translocated
Ameiurus_natalis	10090101	translocated
Ameiurus_natalis	10100004	translocated
Ameiurus_natalis	10100001	translocated
Ameiurus_natalis	10080016	translocated
Ameiurus_natalis	10100003	translocated
Ameiurus_natalis	10100005	translocated
Ameiurus_natalis	10090102	translocated
Ameiurus_natalis	10040105	translocated
