Species_name	FECUN	AGEMAT	PC
Acantharchus_pomotis	11838	1.0	4
Acipenser_brevirostrum	200000	10.0	1
Acipenser_fulvescens	1000000	18.0	1
Acipenser_medirostris	140000	20.0	1
Acipenser_oxyrinchus	3755745	18.0	1
Acipenser_transmontanus	350000	24.0	1
Acrocheilus_alutaceus	18400	4.5	1
Agonostomus_monticola	538238	2.6	1
Agosia_chrysogaster	2500	1.0	2
Alosa_aestivalis	349000	4.0	1
Alosa_alabamae	250000	4.0	1
Alosa_chrysochloris	300000	2.5	1
Alosa_mediocris	348000	4.0	1
Alosa_pseudoharengus	300000	3.0	1
Alosa_sapidissima	500000	4.0	1
Ambloplites_ariommus	11000	3.0	4
Ambloplites_cavifrons	11500	2.5	4
Ambloplites_constellatus	11000	3.0	4
Ambloplites_rupestris	11000	3.0	4
Amblyopsis_rosae	70	4.0	5
Amblyopsis_spelaea	70	3.0	5
Ameiurus_brunneus	1742	3.0	4
Ameiurus_catus	4000	3.5	4
Ameiurus_melas	5495	2.5	4
Ameiurus_natalis	7000	2.5	4
Ameiurus_nebulosus	13000	2.5	4
Ameiurus_platycephalus	1742	3.0	4
Ameiurus_serracanthus	1742	3.0	4
Amia_calva	64000	4.0	4
Ammocrypta_beanii	122	1.0	1
Ammocrypta_bifascia	85	1.0	1
Ammocrypta_clara	324	1.0	1
Ammocrypta_meridiana	213	1.0	1
Ammocrypta_pellucida	170	1.0	1
Ammocrypta_vivax	70	1.0	1
Anguilla_rostrata	1450000	12.0	1
Apeltes_quadracus	60	1.0	4
Aphredoderus_sayanus	160	2.0	5
Aplodinotus_grunniens	508000	4.5	1
Amatitlania_nigrofasciata	191	0.9	4
Archoplites_interruptus	124720	2.5	4
Astatotilapia_calliptera	103	1.2	5
Astronotus_ocellatus	3000	1.0	4
Astyanax_mexicanus	18714	1.0	1
Atractosteus_spatula	200000	11.0	1
Awaous_banana	17089	3.6	3
Belonesox_belizanus	600	0.5	5
Campostoma_anomalum	4800	2.5	2
Campostoma_oligolepis	1510	2.0	2
Campostoma_ornatum	2000	2.0	2
Campostoma_pauciradii	3000	2.0	2
Carassius_auratus	400000	3.5	1
Carpiodes_carpio	300000	3.0	1
Carpiodes_cyprinus	63779	4.0	1
Carpiodes_velifer	62355	3.0	1
Catostomus_ardens	20000	2.5	1
Catostomus_catostomus	60307	4.0	1
Catostomus_clarkii	20000	3.0	1
Catostomus_columbianus	21040	6.0	1
Catostomus_commersonii	50000	3.0	1
Catostomus_discobolus	8500	2.0	1
Catostomus_fumeiventris	36472	4.8	1
Catostomus_insignis	50000	3.0	1
Catostomus_latipinnis	40000	5.0	1
Catostomus_macrocheilus	20000	5.0	1
Catostomus_microps	12590	3.0	1
Catostomus_occidentalis	32000	5.0	1
Catostomus_platyrhynchus	3710	4.0	1
Catostomus_plebeius	4701	3.0	1
Catostomus_rimiculus	20000	4.0	1
Catostomus_santaanae	16151	1.5	1
